,ID,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
571,A_2932,Shut In,47,PG-13,Thriller,Farren Blackburn,Christina Hodson,6883951,2016-11-11,91,EuropaCorp
572,A_2935,Friend Request,53,R,Thriller,Simon Verhoeven,Matthew Ballen,3759046,2017-09-22,92,Wiedemann & Berg Filmproduktion
573,A_2939,I Am the Pretty Thing That Lives in the House,46,NOT RATED,Thriller,Oz Perkins,Oz Perkins,0,2016-10-28,89,Paris Film
574,A_2941,Home,67,PG,Comedy,Tim Johnson,Tom J. Astle,177397510,2015-03-27,94,DreamWorks Animation
575,A_2941,Home,67,PG,Comedy,Tim Johnson,Tom J. Astle,177397510,2015-03-27,94,DreamWorks Animation
576,A_2944,The Nut Job,58,PG,Comedy,Peter Lepeniotis,Lorne Cameron,64251541,2014-01-17,85,Gulfstream Pictures
577,A_2947,Rock Dog,59,PG,Comedy,Ash Brannon,Ash Brannon,9404922,2017-02-24,90,Summit Premiere
578,A_2991,Churchill,64,PG,Documentary,Jonathan Teplitzky,Alex von Tunzelmann,1244798,2017-06-02,105,Salon Pictures
579,A_2994,12 Years a Slave,81,R,Documentary,Steve McQueen,John Ridley,56671993,2013-11-08,134,Regency Enterprises
580,A_2997,45 Years,71,R,Drama,Andrew Haigh,Andrew Haigh,4250507,2015-08-28,91,BFI Film Fund
581,A_3000,Spotlight,81,R,Drama,Tom McCarthy,Josh Singer,45055776,2015-11-20,128,Participant Media
582,A_3005,Bridge of Spies,76,PG-13,Drama,Steven Spielberg,Matt Charman,72313754,2015-10-16,142,DreamWorks
583,A_3012,Keanu,63,R,Comedy,Peter Atencio,Jordan Peele,20566327,2016-04-29,100,New Line Cinema
584,A_3038,Half Magic,45,R,Comedy,Heather Graham,Heather Graham,0,2018-02-23,94,"Bubble Factory, The"
585,A_3044,The Meyerowitz Stories (New and Selected),70,TV-MA,Comedy,Noah Baumbach,Noah Baumbach,0,2017-10-13,112,Netflix
586,A_3047,The Captive,59,R,Drama,Atom Egoyan,Atom Egoyan,0,2014-12-12,112,Ego Film Arts
587,A_3051,Marauders,55,R,Action,Steven C. Miller,Michael Cody,0,2016-07-01,107,Emmett/Furla/Oasis Films (EFO Films)
588,A_3054,Non-Stop,70,PG-13,Thriller,Jaume Collet-Serra,John W. Richardson,92168600,2014-02-28,106,StudioCanal
589,A_3055,Dark Places,62,R,Drama,Gilles Paquet-Brenner,Gilles Paquet-Brenner,208588,2015-06-18,113,Exclusive Media Group
590,A_3060,A Walk Among the Tombstones,65,R,Drama,Scott Frank,Lawrence Block,26307600,2014-09-19,114,1984 Private Defense Contractors
