B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
B_0087,PokÃÂ©mon The Movie: I Choose You!,43,NOT RATED,NA,NA,NA,NA,2017-11-05,120,NA
B_0088,Still/Born,90,R,Horror;Mystery & Suspense,Brandon Christensen (II),Brandon Christensen (II);Colin Minihan,NA,2018-02-09,87,
B_0089,The Ritual,71,NOT RATED,Art House & International;Horror,David Bruckner,Adam Nevill;Joe Barton,NA,NA,94,
B_0090,Monster Family,10,PG,Animation;Horror;Kids & Family,Holger Tappe,Catharina Junk,NA,2018-02-09,96,
B_0091,When We First Met,35,NOT RATED,Comedy;Romance,Ari Sandel,John Whittington,NA,2018-02-09,97,
B_0092,Seeing Allred,100,NOT RATED,Documentary,Sophie Sartain;Roberta Grossman,NA,NA,2018-02-09,96,
B_0093,Bomb City,86,NOT RATED,Action & Adventure;Drama;Mystery & Suspense,Jameson Brooks,Jameson Brooks;Sheldon Chick,NA,2018-02-09,95,
B_0094,Hellraiser: Judgment,50,NOT RATED,Horror,Gary J. Tunnicliffe,Gary J. Tunnicliffe,NA,NA,81,
B_0095,Irreplaceable You,27,NOT RATED,Comedy;Drama;Romance,Stephanie Laing,Bess Wohl,NA,2018-02-16,96,
B_0096,Geostorm,13,PG-13,Action & Adventure;Drama;Mystery & Suspense;Science Fiction & Fantasy,Dean Devlin,Dean Devlin;Paul Guyot,33681965,2017-10-20,NA,Warner Bros. Pictures
B_0097,A Futile and Stupid Gesture,61,NOT RATED,Comedy,David Wain,Michael Colton;John Aboud,NA,NA,NA,
B_0098,Old Stone (Lao Shi),95,NOT RATED,Drama,Johnny Ma,Johnny Ma,7476,2016-11-30,80,
B_0099,The Sunshine Makers,100,NOT RATED,Documentary,Cosmo Feilding-Mellen;Allison Brownmoore,Cosmo Feilding-Mellen;Connie Littlefield,9915,2017-01-20,90,Passion Pictures
B_0100,Jigsaw,34,R,Drama;Horror,Michael Spierig;Peter Spierig,Josh Stolberg;Peter Goldfinger,36462005,2017-10-27,91,Lionsgate
B_0101,Aida's Secrets,100,NOT RATED,Documentary,Alon Schwarz;Shaul Schwarz,Alon Schwarz;Halil Efrat,96104,2017-10-20,95,Music Box Films
B_0102,All I See Is You,28,R,Drama,Marc Forster,Marc Forster;Sean Conway,NA,2017-10-27,110,Open Road Films
B_0103,The Odyssey (L'odyssÃÂ©e),61,PG,Action & Adventure;Drama,JÃÂ©rÃÂ´me Salle,JÃÂ©rÃÂ´me Salle;Laurent Turner;Albert Falco,NA,NA,122,Samuel Goldwyn Films
B_0104,God's Own Country,99,NOT RATED,Art House & International;Drama;Romance,Francis Lee,Francis Lee,NA,2017-10-25,104,Samuel Goldwyn Films
B_0105,On Body and Soul (A TestrÃÂ¶l ÃÂ©s LÃÂ©lekrÃÂ¶l),91,NOT RATED,Art House & International;Drama;Romance,IldikÃÂ³ Enyedi,IldikÃÂ³ Enyedi,NA,2018-01-05,116,
B_0106,American Folk,78,PG,Drama;Musical & Performing Arts,David Heinz,David Heinz,NA,2018-01-26,99,Good Deed Entertainment
B_0107,Thank You for Your Service,77,R,Drama,Jason Hall,Jason Hall,9437885,2017-10-27,108,Universal Studios
B_0108,Goodbye Christopher Robin,64,PG,Drama,NA,Simon Vaughan;Frank Cottrell Boyce,1659463,2017-10-13,NA,Fox Searchlight Pictures
B_0109,The Cage Fighter,92,NOT RATED,Action & Adventure;Documentary;Drama,Jeff Unay,NA,NA,2018-02-02,81,IFC Films
B_0110,A Ciambra,81,NOT RATED,Drama,Jonas Carpignano,Jonas Carpignano,NA,2018-01-26,119,IFC Films
B_0111,The Square,84,R,Art House & International;Comedy;Drama,Ruben Ãâstlund,Ruben Ãâstlund,1284672,2017-10-27,142,Magnolia Pictures
B_0112,Tyler Perry's Boo 2! A Madea Halloween,6,PG-13,Comedy,Tyler Perry,Tyler Perry,46649659,2017-10-20,NA,Lionsgate
B_0113,Professor Marston & The Wonder Women,87,R,Drama,Angela Robinson,Angela Robinson,1583641,2017-10-13,108,Annapurna Pictures
B_0114,Reset,50,NOT RATED,Action & Adventure;Drama;Mystery & Suspense;Science Fiction & Fantasy,Yoon Hong-Seung,Zha Muchun,98574,2017-06-30,106,
B_0115,The Stray,33,PG,Drama;Kids & Family,Mitch Davis,Mitch Davis;Parker Davis,1564482,2017-10-06,92,Pure Flix Entertainment
B_0116,Last Flag Flying,76,R,Comedy;Drama,Richard Linklater,Richard Linklater;Darryl Ponicsan,411864,2017-11-03,124,Amazon Studios
B_0117,Only the Brave,87,PG-13,Action & Adventure;Drama,Joseph Kosinski,Ken Nolan;Eric Warren Singer,18255680,2017-10-20,NA,Columbia Pictures
B_0118,Thelma,93,NOT RATED,Art House & International;Mystery & Suspense,Joachim Trier,Joachim Trier;Eskil Vogt,147112,2017-11-10,116,The Orchard
B_0119,Napping Princess (Hirune-hime: Shiranai watashi no monogatari),67,NOT RATED,Animation;Anime & Manga;Art House & International;Drama;Science Fiction & Fantasy,Kenji Kamiyama,Kenji Kamiyama,46020,2017-09-08,110,GKIDS
