ltable_ID,ltable_Title,rtable_ID,rtable_Title
A_0977,The Visit,B_1318,The Visit
A_0978,The Mortal Instruments: City of Bones,B_2929,The Mortal Instruments: City of Bones
A_0982,Carnage Park,B_1041,Carnage Park
A_0983,Lights Out,B_0849,Lights Out
A_0984,Cabin Fever,B_1267,Cabin Fever
A_0991,Kubo and the Two Strings,B_0810,Kubo and the Two Strings
A_1005,Hotel Transylvania 2,B_1303,Hotel Transylvania 2
A_1009,Kingsglaive: Final Fantasy XV,B_0889,Kingsglaive: Final Fantasy XV
A_1017,Smurfs: The Lost Village,B_0459,Smurfs: The Lost Village
A_1021,The Good Dinosaur,B_1240,The Good Dinosaur
A_1028,The Nut Job 2: Nutty by Nature,B_0237,The Nut Job 2: Nutty by Nature
A_1036,Cinderella,B_1521,Cinderella
A_1043,The Danish Girl,B_1222,The Danish Girl
A_1049,Only the Brave,B_0116,Only the Brave
A_1054,Good Time,B_0247,Good Time
A_1058,Nocturnal Animals,B_0699,Nocturnal Animals
A_1060,The Forgiven,B_0014,The Forgiven
A_1061,Jason Bourne,B_0780,Jason Bourne
A_1063,Furious 7,B_1493,Furious 7
A_1065,Fury,B_1989,Fury
A_1071,Spy,B_1497,Spy
A_1079,Jungle,B_0229,Jungle
A_1080,Pitch Perfect 2,B_1494,Pitch Perfect 2
A_1083,Rough Night,B_0372,Rough Night
A_1085,Girls Trip,B_0271,Girls Trip
A_1093,Entourage,B_1498,Entourage
A_1097,The DUFF,B_1723,The DUFF
A_1102,The Big Short,B_1189,The Big Short
A_1128,Inherent Vice,B_1798,Inherent Vice
A_1129,Veronica Mars,B_2586,Veronica Mars
A_1132,Midnight Special,B_1023,Midnight Special
A_1134,Now You See Me 2,B_0897,Now You See Me 2
A_1145,Crooked House,B_0132,Crooked House
A_1151,Jack Reacher: Never Go Back,B_0717,Jack Reacher: Never Go Back
A_1153,Nerve,B_0852,Nerve
A_1154,The Hunger Games: Mockingjay - Part 2,B_1180,The Hunger Games: Mockingjay - Part 2
A_1154,The Hunger Games: Mockingjay - Part 2,B_1890,The Hunger Games: Mockingjay - Part 1
A_1155,Jupiter Ascending,B_1708,Jupiter Ascending
A_1161,X-Men: Days of Future Past,B_2230,X-Men: Days of Future Past
A_1166,The Hunger Games: Mockingjay - Part 1,B_1180,The Hunger Games: Mockingjay - Part 2
A_1166,The Hunger Games: Mockingjay - Part 1,B_1890,The Hunger Games: Mockingjay - Part 1
A_1171,The Lobster,B_0976,The Lobster
A_1173,Insurgent,B_1611,Insurgent
A_1181,xXx: Return of Xander Cage,B_0522,xXx: Return of Xander Cage
A_1182,Everest,B_1279,Everest
A_1187,The Shack,B_0497,The Shack
A_1192,The Hobbit: The Desolation of Smaug,B_2637,The Hobbit: The Desolation of Smaug
A_1194,Ender's Game,B_2758,Ender's Game
A_1196,The Great Wall,B_0537,The Great Wall
A_1197,Colossal,B_0433,Colossal
A_1203,The Age of Adaline,B_1527,The Age of Adaline
A_1204,Pixels,B_1429,Pixels
A_1210,The Huntsman: Winter's War,B_0935,The Huntsman: Winter's War
A_1212,Mr. Nobody,B_2725,Mr. Nobody
A_1221,The Void,B_0545,The Void
A_1222,The Limehouse Golem,B_0279,The Limehouse Golem
A_1231,The Vault,B_0391,The Vault
A_1236,The Green Inferno,B_1304,The Green Inferno
A_1242,Victor Crowley,B_0119,Victor Crowley
A_1247,Goosebumps,B_1271,Goosebumps
A_1253,You're Next,B_2823,You're Next
